Benchmarks	system.cpu.cpi
specbzip1_l1d_assoc	1.691961
specbzip2_l1d_assoc	1.673085
specbzip5_l1d_assoc	NAN
speclibm1_l1d_assoc	3.510572
speclibm2_l1d_assoc	3.495270
speclibm5_l1d_assoc	NAN
specmcf1_l1d_assoc	1.254749
specmcf2_l1d_assoc	1.251067
specmcf5_l1d_assoc	NAN
specsjeng1_l1d_assoc	10.277560
specsjeng2_l1d_assoc	10.276466
specsjeng5_l1d_assoc	NAN
spechmmer_dcache_assoc1	1.208548
spechmmer_dcache_assoc2	1.187798
spechmmer_dcache_assoc4	1.187409
